t_s,err1,err2
166.8,0.009999670579306114,0.08188875352698662
166.85,0.022805480083873567,0.10684391139243749
166.9,0.022214211193627584,0.08631977962182817
166.95,0.01380185146459824,0.025199266391693977
167.0,0.00495741420516397,-0.05278238875547411
167.05,0.0001997451485440147,-0.11154693038824554
167.1,0.0015590721150494263,-0.1218064187540381
167.15,0.008132726009259968,-0.07816836573345878
167.2,0.013864143577441417,-0.00027343494546455243
167.25,0.0100922048596695,0.07901123554227081
167.3,-0.006488303746634181,0.12807661991361763
167.35,-0.0290595386261999,0.12753400393151798
167.4,-0.04488247263523473,0.07482166192448791
167.45,-0.04365646415327034,-0.012888252335869283
167.5,-0.022297934053740753,-0.09974591000124558
167.55,0.014364186595074756,-0.14645283918783814
167.6,0.053772265005324345,-0.1323571320890273
167.65,0.07808129777841459,-0.06518073693282889
167.7,0.07233849869851654,0.0270128232062737
167.75,0.03444131885347308,0.10875183670361664
167.8,-0.022556694466808254,0.14914370455336015
167.85,-0.07713067197329546,0.13280173776286475
167.9,-0.10713381810208714,0.06478534952511605
167.95,-0.09671335211658003,-0.029786939852273906
168.0,-0.044800437664550205,-0.11219751368553713
168.05,0.030221281556951588,-0.14782937587607667
168.1,0.09713908441178663,-0.12501034457127136
168.15,0.12770803833435773,-0.05738692868856752
168.2,0.1101560194070854,0.0274995791052524
168.25,0.05063294372785031,0.09906726403500904
168.3,-0.03230192773350771,0.13208550677677391
168.35,-0.10938578203063823,0.11511435097033355
168.4,-0.14637142986031523,0.055935167685494405
168.45,-0.1229588181171225,-0.020350247777412615
168.5,-0.04860706789005833,-0.08269053699567533
168.55,0.04388974127321269,-0.10925996956535097
168.6,0.11868270885245491,-0.09527886239690121
168.65,0.1498428407926401,-0.0503003054929006
168.7,0.12532381313413252,0.007603720672041923
168.75,0.05035309144143689,0.05691034272123565
168.8,-0.049285139016064974,0.08030502929078824
168.85,-0.13141630580492772,0.07270710593028397
168.9,-0.15757067741665073,0.042306764436646924
168.95,-0.11766922404978797,0.003840681275118457
169.0,-0.033350821464072915,-0.028989170241788573
169.05,0.061059302558252135,-0.04693974858989661
169.1,0.13231254025590594,-0.04661453728524692
169.15,0.15236231713461357,-0.03215129535279745
169.2,0.10979078660598514,-0.013353915122692026
169.25,0.02051178795731346,0.0014769997677389526
169.3,-0.0767009980165925,0.01070457520960673
169.35,-0.13878606687139292,0.01671601073515268
169.4,-0.14058151976610256,0.020577706170840593
169.45,-0.08555725518066237,0.02187102054968362
169.5,0.0009591822505524369,0.021459446015388507
169.55,0.08445373513477439,0.019658212535356313
169.6,0.13150930622799284,0.012854298457090841
169.65,0.12232973001697112,-0.0032222506808135187
169.7,0.061613460317959445,-0.02589722067766063
169.75,-0.022920847183491744,-0.04394319667374681
169.8,-0.09376874537021831,-0.046243640902152224
169.85,-0.1211013098126347,-0.03138911912046119
169.9,-0.09565863380159886,-0.0058052362591375
169.95,-0.030867438840289505,0.024509533287772545
170.0,0.043918456150999256,0.052045162662288376
170.05,0.09560303816116301,0.06372536174086851
170.1,0.10247301004230251,0.04965563495287093
170.15,0.06410486607956783,0.013637007560566992
170.2,-0.0006566445370302377,-0.028019182800164143
170.25,-0.06263255472115871,-0.05690411774887607
170.3,-0.09388505249688331,-0.06311079863361488
170.35,-0.08061657907863631,-0.04799421063552177
170.4,-0.029799627166086164,-0.017672242822943555
170.45,0.03430148982958357,0.019715618919443473
170.5,0.08100277510130935,0.049936417312466744
170.55,0.08811284071178022,0.058092448677119685
170.6,0.0531351750638334,0.04121659079154481
170.65,-0.00724319274355188,0.010829298026616599
170.7,-0.06577184444236511,-0.01735889170552101
170.75,-0.09546289818372203,-0.0335009075180375
170.8,-0.08097302724579421,-0.03535380017845893
170.85,-0.026331792288405986,-0.02538382827492322
170.9,0.044935584395522185,-0.008390073239269309
170.95,0.09949677426888191,0.008223489599039877
171.0,0.11047509589491425,0.015863211763284205
171.05,0.07116852593963902,0.011263729788954303
171.1,-0.002093849595718603,0.0009321914280178603
171.15,-0.07817921694369723,-0.004501188861830548
171.2,-0.12474790461579667,-0.00015484445375222057
171.25,-0.12090950095895087,0.010593328249740573
171.3,-0.064567218540543,0.02067257377617354
171.35,0.024165398484151397,0.023508597933204485
171.4,0.1075079252861958,0.014591056612882602
171.45,0.14736707881135458,-0.00659744361384083
171.5,0.1259637199911995,-0.03343145939093898
171.55,0.053284774888286306,-0.052525491550544694
171.6,-0.04160933029800741,-0.05103274799010499
171.65,-0.12256571393735526,-0.025475279272305883
171.7,-0.15747487816815944,0.01595517557089426
171.75,-0.1303455092794281,0.057721787042357864
171.8,-0.04950824196056973,0.08230703770444715
171.85,0.05254448641039405,0.07571691772822815
171.9,0.13191390319220003,0.03506635751122919
171.95,0.15635047542950886,-0.026212437664598177
172.0,0.12094568521076761,-0.08251083996127904
172.05,0.043158114813362396,-0.10879265504940731
172.1,-0.04906756730193044,-0.0926978581309153
172.15,-0.12249227479277265,-0.03818233350563973
172.2,-0.14774184286463876,0.03688349872094176
172.25,-0.1145425919262383,0.10401230478145208
172.3,-0.03888046076788455,0.13254642686150842
172.35,0.045481302133919516,0.10595796699173027
172.4,0.10522083570972804,0.033691543431952936
172.45,0.12234981214734877,-0.05403108136349614
172.5,0.09646553045462486,-0.12234109275693922
172.55,0.039441777036151975,-0.14466248579572094
172.6,-0.027553417275949225,-0.11033266836203454
172.65,-0.07875021536913618,-0.029242694019450108
172.7,-0.09549531928604121,0.06824881271794955
172.75,-0.0760685712848093,0.14014180264931092
172.8,-0.03398467853129009,0.15308903014016603
172.85,0.012022515708985054,0.10258447211369455
172.9,0.046525883407575866,0.012826523794049078
172.95,0.06050442937972298,-0.08113531838883714
173.0,0.05254999372424136,-0.14505660779660753
173.05,0.02961977071966931,-0.15183924094838525
173.1,0.003644213868283415,-0.09539289429822492
173.15,-0.015674348222002397,0.0013386531638361647
173.2,-0.025268537236942633,0.09615305562251741
173.25,-0.026827529895458422,0.14848069564994712
173.3,-0.02301993766032367,0.13900904204711315
173.35,-0.01668635050010778,0.07590673762460999
173.4,-0.010792352934303542,-0.014499965587512978
173.45,-0.005946424760088338,-0.09849496059523748
173.5,0.0008560635184256505,-0.14213698749279038
173.55,0.012445078508451004,-0.12566327320170637
173.6,0.026322401650184537,-0.05707676343502801
173.65,0.03482690407119017,0.03161319307158915
173.7,0.03153452744306385,0.10202773963514032
173.75,0.016659728142560684,0.12738783775528947
173.8,-0.005067681859867457,0.10118768647577961
173.85,-0.028705793832791242,0.03608747490401543
173.9,-0.04727093267508357,-0.041052384923237796
173.95,-0.05089729459992951,-0.09760359117869821
174.0,-0.033957316407219516,-0.10968346271725801
174.05,-0.0015586872201910436,-0.07437463742831373
174.1,0.03241241313657861,-0.009650860766900075
174.15,0.05331762886023884,0.054840775904283455
174.2,0.05410563134528412,0.09084622763346287
174.25,0.03716250146534618,0.08408509013119524
174.3,0.008237280803910632,0.03986634281621159
174.35,-0.025245280319606614,-0.020073526036195048
174.4,-0.050206299243653094,-0.0674452641770785
174.45,-0.05371776959237362,-0.08074516402763816
174.5,-0.03473417162372492,-0.055233127709057674
174.55,-0.00507912349502819,-0.0035365200874096967
174.6,0.021211886472565965,0.050338487690439526
174.65,0.0361695865468415,0.0803018727227216
174.7,0.03778697180797491,0.07039283033076141
174.75,0.02699766492163788,0.0241346144576022
174.8,0.007231775688056577,-0.036618454266122175
174.85,-0.013154850425037263,-0.08268734128683179
174.9,-0.02333925482325432,-0.09134235222581898
174.95,-0.019363279825817387,-0.0570849040105319
175.0,-0.008369387563114807,0.006005585818772211
175.05,-0.00010482000734519691,0.07098141069552533
175.1,0.0024061651100259567,0.10923505918122045
175.15,0.0009094696724823837,0.10198916835380686
175.2,-0.0029824323072410045,0.04854035528413285
175.25,-0.006940706888715572,-0.031262130560894344
175.3,-0.006104328967848327,-0.10309729152760844
175.35,0.0035332972578969073,-0.13363688411482869
175.4,0.01907726124944156,-0.108411250503081
175.45,0.030458365530017958,-0.03811545156441004
175.5,0.028225527496841565,0.049397592931408094
175.55,0.010783971187560557,0.12078122353275057
175.6,-0.01587944702039389,0.1480133423792807
175.65,-0.04188866421407398,0.11788229382349145
175.7,-0.05574103285680602,0.03836643624232632
175.75,-0.04774963522926147,-0.060013212804324007
175.8,-0.016536955353435457,-0.1349028774717604
175.85,0.027191885682402026,-0.15500250049699288
175.9,0.06513111726637213,-0.11598698634336385
175.95,0.08050453259223445,-0.03533840342112738
176.0,0.06463890023045706,0.05869940250458679
176.05,0.019798200113287298,0.13191084419876248
176.1,-0.03959685640275593,0.15436526086356503
176.15,-0.08920229440829537,0.11605986013795057
176.2,-0.10475524813497364,0.03367665314646752
176.25,-0.07646614063998391,-0.05753102399884031
176.3,-0.015144555317038486,-0.12163148730469402
176.35,0.05528803494978907,-0.1378751309899855
176.4,0.10842866238888828,-0.10421920489158093
176.45,0.1222208919002343,-0.033899041713948135
176.5,0.08673553420889278,0.046130414807012146
176.55,0.01171033316952168,0.10322718211692335
176.6,-0.0735233449061352,0.11589395048572218
176.65,-0.13131742768161017,0.08447672892942652
176.7,-0.13524910654053007,0.027009872612836272
176.75,-0.08454921239992165,-0.03265928779197959
176.8,-0.0004589367404062854,-0.07397429118409504
176.85,0.08649442550317862,-0.08427782094519148
176.9,0.1435058938076144,-0.06284378057421833
176.95,0.14452161356120877,-0.022297525019744135
177.0,0.08524677569674337,0.017982960268262873
177.05,-0.01104841271178569,0.04289355900958725
177.1,-0.10374715345056121,0.0476573105580771
177.15,-0.15363354007664345,0.036100664612318964
177.2,-0.14113647442235794,0.016474239108535058
177.25,-0.07377507114561128,-0.0015899168579345635
177.3,0.021400997714893774,-0.011115812820708709
177.35,0.10885693689643287,-0.011993430972289191
177.4,0.15345665670257128,-0.009974023864886581
177.45,0.13507628214641149,-0.010414947242465172
177.5,0.06126754464946679,-0.013659096403299617
177.55,-0.035708585219291614,-0.016399392037243117
177.6,-0.11469066021641781,-0.015551191108537999
177.65,-0.1442336671893513,-0.009267208309947515
177.7,-0.11513012303019872,0.0037933413825163983
177.75,-0.041726760848194856,0.021871089163539643
177.8,0.04531111236097808,0.0369153665200399
177.85,0.11022793796141922,0.038711713539809955
177.9,0.12665507943895762,0.02366625356510626
177.95,0.08962091322174263,-0.002320371455389491
178.0,0.017350867731464534,-0.02874635906306108
178.05,-0.05715035523090741,-0.045850669414562166
178.1,-0.10154020400275317,-0.047440954821762596
178.15,-0.09900041606267775,-0.03205328665258256
178.2,-0.05420628631820436,-0.0030358041138005996
